title,license,access_level,keywords,last_validation_date,update_frequency,last_update_date,last_update_location,over_due_frequency_ratio,num_hosted_data_files,num_linked_data_files,num_supporting_files,organization,groups,as_of
1-888 Business Info Line,License Not Specified,under_review,"Government and Finance, Government",2016-10-05,other,,,,0,0,0,Government and Consumer Services,,2020-09-10
10-year rent forecast,License Not Specified,under_review,"Housing Communities and Social Support, Economy and Business, Home and community",2017-01-05,monthly,,,,0,0,0,Municipal Affairs and Housing,,2020-09-10
1:250 000 scale bedrock geology of Ontario,Ministry Terms of Use,open,"Economy and Business, Environment and Natural Resources, Rural and north",2012-10-10,as_required,2012-10-10,external_link,,0,1,0,"Energy, Northern Development and Mines",,2020-09-10
18 Month Enhanced Well Baby Visit financial information,License Not Specified,under_review,"Housing Communities and Social Support, Government",2016-12-21,yearly,,,,0,0,0,"Children, Community and Social Services",,2020-09-10
2001 census geocoding of place of work and place of residence,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
2001 Ontario Commercial Vehicle Survey data,License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
2006 census geocoding of place of work and place of residence,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
2006 Commercial Vehicle Survey: equivalent single axle load,Open Government Licence – Ontario,open,"Infrastructure and Transportation, Driving and roads",2015-04-30,other,2015-04-30,external_link,,0,2,0,Transportation,,2020-09-10
2006 Commercial Vehicle Survey: origin and destination,Open Government Licence – Ontario,open,"Infrastructure and Transportation, Driving and roads",2015-04-30,other,2015-04-30,external_link,,0,2,0,Transportation,,2020-09-10
2006 Commercial Vehicle Survey: traffic volumes at survey stations,Open Government Licence – Ontario,open,"Infrastructure and Transportation, Driving and roads",2015-04-30,other,2015-04-30,external_link,,0,2,0,Transportation,,2020-09-10
2007 National Graduate Survey,License Not Specified,restricted,"Education and Training, Education and training",2016-11-17,as_required,,,,0,0,0,"Training, Colleges and Universities",,2020-09-10
2009 average truck travel speed and performance indices,License Not Specified,restricted,"Infrastructure and Transportation, Driving and roads",2017-04-03,other,,,,0,0,0,Transportation,,2020-09-10
2009 modular bridge and building product inventory,License Not Specified,under_review,"Infrastructure and Transportation, Driving and roads",2017-04-03,as_required,,,,0,0,0,Transportation,,2020-09-10
2010 digital elevation model  ,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Government",2015-04-30,as_required,2015-04-30,external_link,,0,2,0,Natural Resources and Forestry,,2020-09-10
2010 digital surface model  ,Open Government Licence – Ontario,open,"Economy and Business, Environment and Natural Resources, Government",2015-04-30,as_required,2015-04-30,external_link,,0,1,0,Natural Resources and Forestry,,2020-09-10
2011 average car travel speed,Open Government Licence – Ontario,open,"Infrastructure and Transportation, Driving and roads",2014-04-29,yearly,2015-04-29,external_link,4.36986301369863,0,2,0,Transportation,,2020-09-10
